Códig CNAE|Descrição do CNAE|Tipo de Atividade Econômica|O CNAE está no Simples?|Anexo Simples Nacional|Alíquota (%) de Imposto|Precisa de Inscrição Estadual?|Observação sobre a Inscrição
0159-8/02|Criação de animais de estimação||Sim|I|0,04|Sim|
0159-8/03|Criação de escargô||Sim|I|0,04|Sim|
0159-8/04|Criação de bicho-da-seda||Sim|I|0,04|Sim|
0159-8/99|Criação de outros animais Não especificados anteriormente||Sim|I|0,04|Sim|
0161-0/01|Serviço de pulverização e controle de pragas agrícolas||Sim|III|0,06|Não|
0161-0/02|Serviço de poda de árvores para lavouras||Sim|III|0,06|Não|
0161-0/03|Serviço de preparação de terreno, cultivo e colheita||Sim|III|0,06|Não|
0161-0/99|Atividades de apoio à agricultura Não especificadas anteriormente||Sim|III|0,06|Não|
0162-8/01|Serviço de inseminação artificial em animais||Não|||Não|
0162-8/02|Serviço de tosquiamento de ovinos||Sim|III|0,06|Não|
0162-8/03|Serviço de manejo de animais||Sim|III|0,06|Não|
0162-8/99|Atividades de apoio à pecuária Não especificadas anteriormente||Sim|III|0,06|Não|
0163-6/00|Atividades de pós-colheita||Sim|III|0,06|Não|
0170-9/00|Caça e serviços relacionados||Sim|I|0,04|Sim|
0210-1/01|Cultivo de eucalipto||Sim|I|0,04|Sim|
0210-1/02|Cultivo de acácia-negra||Sim|I|0,04|Sim|
0210-1/03|Cultivo de pinus||Sim|I|0,04|Sim|
0210-1/04|Cultivo de teca||Sim|I|0,04|Sim|
0210-1/05|Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca||Sim|I|0,04|Sim|
0210-1/06|Cultivo de mudas em viveiros florestais||Sim|I|0,04|Sim|
0210-1/07|Extração de madeira em florestas plantadas||Sim|I|0,04|Sim|
0210-1/08|Produção de carvão vegetal - florestas plantadas||Sim|I|0,04|Sim|
0210-1/09|Produção de casca de acácia-negra - florestas plantadas||Sim|I|0,04|Sim|
0210-1/99|Produção de produtos Não-madeireiros Não especificados anteriormente em florestas plantadas||Sim|I|0,04|Sim|
0220-9/01|Extração de madeira em florestas nativas||Sim|I|0,04|Sim|
0220-9/02|Produção de carvão vegetal - florestas nativas||Sim|I|0,04|Sim|
0220-9/03|Coleta de castanha-do-pará em florestas nativas||Sim|I|0,04|Sim|
0220-9/04|Coleta de látex em florestas nativas||Sim|I|0,04|Sim|
0220-9/05|Coleta de palmito em florestas nativas||Sim|I|0,04|Sim|
0220-9/06|Conservação de florestas nativas||Sim|I|0,04|Não|
0220-9/99|Coleta de produtos Não-madeireiros Não especificados anteriormente em florestas nativas||Sim|I|0,04|Sim|
0230-6/00|Atividades de apoio à produção florestal||Sim|III|0,06|Não|
0311-6/01|Pesca de peixes em água salgada||Sim|I|0,04|Sim|
0311-6/02|Pesca de crustáceos e moluscos em água salgada||Sim|I|0,04|Sim|
0311-6/03|Coleta de outros produtos marinhos||Sim|I|0,04|Sim|
0311-6/04|Atividades de apoio à pesca em água salgada||Sim|III|0,06|Não|
0312-4/01|Pesca de peixes em água doce||Sim|I|0,04|Sim|
0312-4/02|Pesca de crustáceos e moluscos em água doce||Sim|I|0,04|Sim|
0312-4/03|Coleta de outros produtos aquáticos de água doce||Sim|I|0,04|Sim|
0312-4/04|Atividades de apoio à pesca em água doce||Sim|III|0,06|Não|
0321-3/01|Criação de peixes em água salgada e salobra||Sim|I|0,04|Sim|
0321-3/02|Criação de camarões em água salgada e salobra||Sim|I|0,04|Sim|
0321-3/03|Criação de ostras e mexilhões em água salgada e salobra||Sim|I|0,04|Sim|
0321-3/04|Criação de peixes ornamentais em água salgada e salobra||Sim|I|0,04|Sim|
0321-3/05|Atividades de apoio à aqüicultura em água salgada e salobra||Sim|III|0,06|Não|
0321-3/99|Cultivos e semicultivos da aqüicultura em água salgada e salobra Não especificados anteriormente||Sim|I|0,04|Sim|
0322-1/01|Criação de peixes em água doce||Sim|I|0,04|Sim|
0322-1/02|Criação de camarões em água doce||Sim|I|0,04|Sim|
0322-1/03|Criação de ostras e mexilhões em água doce||Sim|I|0,04|Sim|
0322-1/04|Criação de peixes ornamentais em água doce||Sim|I|0,04|Sim|
0322-1/05|Ranicultura||Sim|I|0,04|Sim|
0322-1/06|Criação de jacaré||Sim|I|0,04|Sim|
0322-1/07|Atividades de apoio à aqüicultura em água doce||Sim|III|0,06|Não|
0322-1/99|Cultivos e semicultivos da aqüicultura em água doce Não especificados anteriormente||Sim|I|0,04|Sim|
0500-3/01|Extração de carvão mineral||Sim|I|0,04|Sim|
0500-3/02|Beneficiamento de carvão mineral||Sim|I|0,04|Sim|
0600-0/01|Extração de petróleo e gás natural||Sim|I|0,04|Sim|
0600-0/02|Extração e beneficiamento de xisto||Sim|I|0,04|Sim|
0600-0/03|Extração e beneficiamento de areias betuminosas||Sim|I|0,04|Sim|
0710-3/01|Extração de minério de ferro||Sim|I|0,04|Sim|
0710-3/02|Pelotização, sinterização e outros beneficiamentos de minério de ferro||Sim|II|0,045|Sim|
0721-9/01|Extração de minério de alumínio||Sim|I|0,04|Sim|
0721-9/02|Beneficiamento de minério de alumínio||Sim|II|0,045|Sim|
0722-7/01|Extração de minério de estanho||Sim|I|0,04|Sim|
0722-7/02|Beneficiamento de minério de estanho||Sim|II|0,045|Sim|
0723-5/01|Extração de minério de manganês||Sim|I|0,04|Sim|
0723-5/02|Beneficiamento de minério de manganês||Sim|II|0,045|Sim|
0724-3/01|Extração de minério de metais preciosos||Sim|I|0,04|Sim|
0724-3/02|Beneficiamento de minério de metais preciosos||Sim|II|0,045|Sim|
0725-1/00|Extração de minerais radioativos||Sim|I|0,04|Sim|
0729-4/01|Extração de minérios de nióbio e titânio||Sim|I|0,04|Sim|
0729-4/02|Extração de minério de tungstênio||Sim|I|0,04|Sim|
0729-4/03|Extração de minério de níquel||Sim|I|0,04|Sim|
0729-4/04|Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos Não-ferrosos Não especificados anteriormente||Sim|I|0,04|Sim|
0729-4/05|Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos Não-ferrosos Não especificados anteriormente||Sim|II|0,045|Sim|
0810-0/01|Extração de ardósia e beneficiamento associado||Sim|I|0,04|Sim|
0810-0/02|Extração de granito e beneficiamento associado||Sim|I|0,04|Sim|
0810-0/03|Extração de mármore e beneficiamento associado||Sim|I|0,04|Sim|
0810-0/04|Extração de calcário e dolomita e beneficiamento associado||Sim|I|0,04|Sim|
0810-0/05|Extração de gesso e caulim||Sim|I|0,04|Sim|
0810-0/06|Extração de areia, cascalho ou pedregulho e beneficiamento associado||Sim|I|0,04|Sim|
0810-0/07|Extração de argila e beneficiamento associado||Sim|I|0,04|Sim|
0810-0/08|Extração de saibro e beneficiamento associado||Sim|I|0,04|Sim|
0810-0/09|Extração de basalto e beneficiamento associado||Sim|I|0,04|Sim|
0810-0/10|Beneficiamento de gesso e caulim associado à extração||Sim|II|0,045|Sim|
0810-0/99|Extração e britamento de pedras e outros materiais para construção e beneficiamento associado||Sim|I|0,04|Sim|
0891-6/00|Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos||Sim|I|0,04|Sim|
0892-4/01|Extração de sal marinho||Sim|I|0,04|Sim|
0892-4/02|Extração de sal-gema||Sim|I|0,04|Sim|
0892-4/03|Refino e outros tratamentos do sal||Sim|II|0,045|Sim|
0893-2/00|Extração de gemas (pedras preciosas e semipreciosas)||Sim|I|0,04|Sim|
0899-1/01|Extração de grafita||Sim|I|0,04|Sim|
0899-1/02|Extração de quartzo||Sim|I|0,04|Sim|
0899-1/03|Extração de amianto||Sim|I|0,04|Sim|
0899-1/99|Extração de outros minerais Não-metálicos Não especificados anteriormente||Sim|I|0,04|Sim|
0910-6/00|Atividades de apoio à extração de petróleo e gás natural||Não|||Não|
0990-4/01|Atividades de apoio à extração de minério de ferro||Sim|III|0,06|Sim|
0990-4/02|Atividades de apoio à extração de minerais metálicos Não-ferrosos||Sim|III|0,06|Sim|
0990-4/03|Atividades de apoio à extração de minerais Não-metálicos||Sim|III|0,06|Sim|
1011-2/01|Frigorífico - abate de bovinos||Sim|II|0,045|Sim|
1011-2/02|Frigorífico - abate de eqüinos||Sim|II|0,045|Sim|
1011-2/03|Frigorífico - abate de ovinos e caprinos||Sim|II|0,045|Sim|
1011-2/04|Frigorífico - abate de bufalinos||Sim|II|0,045|Sim|
1011-2/05|Matadouro - abate de reses sob contrato, exceto abate de suínos||Sim|II|0,045|Sim|
1012-1/01|Abate de aves||Sim|II|0,045|Sim|
1012-1/02|Abate de pequenos animais||Sim|II|0,045|Sim|
1012-1/03|Frigorífico - abate de suínos||Sim|II|0,045|Sim|
1012-1/04|Matadouro - abate de suínos sob contrato||Sim|II|0,045|Sim|
1013-9/01|Fabricação de produtos de carne||Sim|II|0,045|Sim|
1013-9/02|Preparação de subprodutos do abate||Sim|II|0,045|Sim|
1020-1/01|Preservação de peixes, crustáceos e moluscos||Sim|II|0,045|Sim|
1020-1/02|Fabricação de conservas de peixes, crustáceos e moluscos||Sim|II|0,045|Sim|
1031-7/00|Fabricação de conservas de frutas|Indústria|Sim|II|0,045|Sim|
1032-5/01|Fabricação de conservas de palmito|Indústria|Sim|II|0,045|Sim|
1032-5/99|Fabricação de conservas de legumes e outros vegetais, exceto palmito|Indústria|Sim|II|0,045|Sim|
1033-3/01|Fabricação de sucos concentrados de frutas, hortaliças e legumes|Indústria|Sim|II|0,045|Sim|
1033-3/02|Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados|Indústria|Sim|II|0,045|Sim|
1041-4/00|Fabricação de óleos vegetais em bruto, exceto óleo de milho|Indústria|Sim|II|0,045|Sim|
1042-2/00|Fabricação de óleos vegetais refinados, exceto óleo de milho|Indústria|Sim|II|0,045|Sim|
1043-1/00|Fabricação de margarina e outras gorduras vegetais e de óleos Não-comestíveis de animais|Indústria|Sim|II|0,045|Sim|
1051-1/00|Preparação do leite|Indústria|Sim|II|0,045|Sim|
1052-0/00|Fabricação de laticínios|Indústria|Sim|II|0,045|Sim|
1053-8/00|Fabricação de sorvetes e outros gelados comestíveis|Indústria|Sim|II|0,045|Sim|
1061-9/01|Beneficiamento de arroz|Indústria|Sim|II|0,045|Sim|
1061-9/02|Fabricação de produtos do arroz|Indústria|Sim|II|0,045|Sim|
1062-7/00|Moagem de trigo e fabricação de derivados|Indústria|Sim|II|0,045|Sim|
1063-5/00|Fabricação de farinha de mandioca e derivados|Indústria|Sim|II|0,045|Sim|
1064-3/00|Fabricação de farinha de milho e derivados, exceto óleos de milho|Indústria|Sim|II|0,045|Sim|
1065-1/01|Fabricação de amidos e féculas de vegetais|Indústria|Sim|II|0,045|Sim|
1065-1/02|Fabricação de óleo de milho em bruto|Indústria|Sim|II|0,045|Sim|
1065-1/03|Fabricação de óleo de milho refinado|Indústria|Sim|II|0,045|Sim|
1066-0/00|Fabricação de alimentos para animais|Indústria|Sim|II|0,045|Sim|
1069-4/00|Moagem e fabricação de produtos de origem vegetal Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
1071-6/00|Fabricação de açúcar em bruto|Indústria|Sim|II|0,045|Sim|
1072-4/01|Fabricação de açúcar de cana refinado|Indústria|Sim|II|0,045|Sim|
1072-4/02|Fabricação de açúcar de cereais (dextrose) e de beterraba|Indústria|Sim|II|0,045|Sim|
1081-3/01|Beneficiamento de café|Indústria|Sim|II|0,045|Sim|
1081-3/02|Torrefação e moagem de café|Indústria|Sim|II|0,045|Sim|
1082-1/00|Fabricação de produtos à base de café|Indústria|Sim|II|0,045|Sim|
1091-1/01|Fabricação de produtos de panificação industrial|Indústria|Sim|II|0,045|Sim|
1091-1/02|Fabricação de produtos de padaria e confeitaria com predominância de produção própria|Comércio|Sim|I|0,04|Sim|
1092-9/00|Fabricação de biscoitos e bolachas|Indústria|Sim|II|0,045|Sim|
1093-7/01|Fabricação de produtos derivados do cacau e de chocolates|Indústria|Sim|II|0,045|Sim|
1093-7/02|Fabricação de frutas cristalizadas, balas e semelhantes|Indústria|Sim|II|0,045|Sim|
1094-5/00|Fabricação de massas alimentícias|Indústria|Sim|II|0,045|Sim|
1095-3/00|Fabricação de especiarias, molhos, temperos e condimentos|Indústria|Sim|II|0,045|Sim|
1096-1/00|Fabricação de alimentos e pratos prontos|Indústria|Sim|II|0,045|Sim|
1099-6/01|Fabricação de vinagres|Indústria|Sim|II|0,045|Sim|
1099-6/02|Fabricação de pós alimentícios|Indústria|Sim|II|0,045|Sim|
1099-6/03|Fabricação de fermentos e leveduras|Indústria|Sim|II|0,045|Sim|
1099-6/04|Fabricação de gelo comum|Indústria|Sim|II|0,045|Sim|
1099-6/05|Fabricação de produtos para infusão (chá, mate, etc.)|Indústria|Sim|II|0,045|Sim|
1099-6/06|Fabricação de adoçantes naturais e artificiais|Indústria|Sim|II|0,045|Sim|
1099-6/07|Fabricação de alimentos dietéticos e complementos alimentares|Indústria|Sim|II|0,045|Sim|
1099-6/99|Fabricação de outros produtos alimentícios Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
1111-9/01|Fabricação de aguardente de cana-de-açúcar|Indústria|Não|||Sim|
1111-9/02|Fabricação de outras aguardentes e bebidas destiladas|Indústria|Não|||Sim|
1112-7/00|Fabricação de vinho|Indústria|Não|||Sim|
1113-5/01|Fabricação de malte, inclusive malte uísque|Indústria|Não|||Sim|
1113-5/02|Fabricação de cervejas e chopes|Indústria|Não|||Sim|
1121-6/00|Fabricação de águas envasadas|Indústria|Sim|II|0,045|Sim|
1122-4/01|Fabricação de refrigerantes|Indústria|Não|||Sim|
1122-4/02|Fabricação de chá mate e outros chás prontos para consumo|Indústria|Sim|II|0,045|Sim|
1122-4/03|Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas|Indústria|Sim|||Sim|
1122-4/04|Fabricação de bebidas isotônicas|Indústria|Sim|II|0,045|Sim|
1122-4/99|Fabricação de outras bebidas Não-alcoólicas Não especificadas anteriormente|Indústria|Sim|||Sim|
1210-7/00|Processamento industrial do fumo|Indústria|Sim|II|0,045|Sim|
1220-4/01|Fabricação de cigarros|Indústria|Não|||Sim|
1220-4/02|Fabricação de cigarrilhas e charutos|Indústria|Não|||Sim|
1220-4/03|Fabricação de filtros para cigarros|Indústria|Não|||Sim|
1220-4/99|Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos|Indústria|Não|||Sim|
1311-1/00|Preparação e fiação de fibras de algodão|Indústria|Sim|II|0,045|Sim|
1312-0/00|Preparação e fiação de fibras têxteis naturais, exceto algodão|Indústria|Sim|II|0,045|Sim|
1313-8/00|Fiação de fibras artificiais e sintéticas|Indústria|Sim|II|0,045|Sim|
1314-6/00|Fabricação de linhas para costurar e bordar|Indústria|Sim|II|0,045|Sim|
1321-9/00|Tecelagem de fios de algodão|Indústria|Sim|II|0,045|Sim|
1322-7/00|Tecelagem de fios de fibras têxteis naturais, exceto algodão|Indústria|Sim|II|0,045|Sim|
1323-5/00|Tecelagem de fios de fibras artificiais e sintéticas|Indústria|Sim|II|0,045|Sim|
1330-8/00|Fabricação de tecidos de malha|Indústria|Sim|II|0,045|Sim|
1340-5/01|Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário|Indústria|Sim|II|0,045|Não|
1340-5/02|Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário|Indústria|Sim|II|0,045|Não|
1340-5/99|Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário|Indústria|Sim|II|0,045|Não|
1351-1/00|Fabricação de artefatos têxteis para uso doméstico|Indústria|Sim|II|0,045|Sim|
1352-9/00|Fabricação de artefatos de tapeçaria|Indústria|Sim|II|0,045|Sim|
1353-7/00|Fabricação de artefatos de cordoaria|Indústria|Sim|II|0,045|Sim|
1354-5/00|Fabricação de tecidos especiais, inclusive artefatos|Indústria|Sim|II|0,045|Sim|
1359-6/00|Fabricação de outros produtos têxteis Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
1411-8/01|Confecção de roupas íntimas|Indústria|Sim|II|0,045|Sim|
1411-8/02|Facção de roupas íntimas|Indústria|Sim|II|0,045|Sim|
1412-6/01|Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida|Indústria|Sim|II|0,045|Sim|
1412-6/02|Confecção, sob medida, de peças do vestuário, exceto roupas íntimas|Indústria|Sim|II|0,045|Sim/Não|"""O material será fornecido pelo executante do serviço?"""
|||||||
1412-6/03|Facção de peças do vestuário, exceto roupas íntimas|Indústria|Sim|II|0,045|Sim|
1413-4/01|Confecção de roupas profissionais, exceto sob medida|Indústria|Sim|II|0,045|Sim|
1413-4/02|Confecção, sob medida, de roupas profissionais|Indústria|Sim|II|0,045|Sim/Não|"""O material será fornecido pelo executante do serviço?"""
|||||||
1413-4/03|Facção de roupas profissionais|Indústria|Sim|II|0,045|Sim|
1414-2/00|Fabricação de acessórios do vestuário, exceto para segurança e proteção|Indústria|Sim|II|0,045|Sim|
1421-5/00|Fabricação de meias|Indústria|Sim|II|0,045|Sim|
1422-3/00|Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias|Indústria|Sim|II|0,045|Sim|
1510-6/00|Curtimento e outras preparações de couro|Indústria|Sim|II|0,045|Sim|
1521-1/00|Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material|Indústria|Sim|II|0,045|Sim|
1529-7/00|Fabricação de artefatos de couro Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
1531-9/01|Fabricação de calçados de couro|Indústria|Sim|II|0,045|Sim|
1531-9/02|Acabamento de calçados de couro sob contrato|Indústria|Sim|III|0,06|Sim|
1532-7/00|Fabricação de tênis de qualquer material|Indústria|Sim|II|0,045|Sim|
1533-5/00|Fabricação de calçados de material sintético|Indústria|Sim|II|0,045|Sim|
1539-4/00|Fabricação de calçados de materiais Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
1540-8/00|Fabricação de partes para calçados, de qualquer material|Indústria|Sim|II|0,045|Sim|
1610-2/01|Serrarias com desdobramento de madeira|Indústria|Sim|II|0,045|Sim|
1610-2/02|Serrarias sem desdobramento de madeira|Indústria|Sim|II - III||Sim|
1621-8/00|Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada|Indústria|Sim|II|0,045|Sim|
1622-6/01|Fabricação de casas de madeira pré-fabricadas|Indústria|Sim|II|0,045|Sim|
1622-6/02|Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais|Indústria|Sim|II|0,045|Sim|
1622-6/99|Fabricação de outros artigos de carpintaria para construção|Indústria|Sim|II|0,045|Sim|
1623-4/00|Fabricação de artefatos de tanoaria e de embalagens de madeira|Indústria|Sim|II|0,045|Sim|
1629-3/01|Fabricação de artefatos diversos de madeira, exceto móveis|Indústria|Sim|II|0,045|Sim|
1629-3/02|Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis|Indústria|Sim|II|0,045|Sim|
1710-9/00|Fabricação de celulose e outras pastas para a fabricação de papel|Indústria|Sim|II|0,045|Sim|
1721-4/00|Fabricação de papel|Indústria|Sim|II|0,045|Sim|
1722-2/00|Fabricação de cartolina e papel-cartão|Indústria|Sim|II|0,045|Sim|
1731-1/00|Fabricação de embalagens de papel|Indústria|Sim|II|0,045|Sim|
1732-0/00|Fabricação de embalagens de cartolina e papel-cartão|Indústria|Sim|II|0,045|Sim|
1733-8/00|Fabricação de chapas e de embalagens de papelão ondulado|Indústria|Sim|II|0,045|Sim|
1741-9/01|Fabricação de formulários contínuos|Indústria|Sim|II|0,045|Sim|
1741-9/02|Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório|Indústria|Sim|II|0,045|Sim|
1742-7/01|Fabricação de fraldas descartáveis|Indústria|Sim|II|0,045|Sim|
1742-7/02|Fabricação de absorventes higiênicos|Indústria|Sim|II|0,045|Sim|
1742-7/99|Fabricação de produtos de papel para uso doméstico e higiênico-sanitário Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
1749-4/00|Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
1811-3/01|Impressão de jornais|Indústria|Sim|II|0,045|Sim|
1811-3/02|Impressão de livros, revistas e outras publicações periódicas|Indústria/Serviço|Sim|II|0,045|Sim|
1812-1/00|Impressão de material de segurança|Indústria/Serviço|Sim|II|0,045|Sim|
1813-0/01|Impressão de material para uso publicitário|Indústria/Serviço|Sim|II|0,045|Sim|
1813-0/99|Impressão de material para outros usos|Indústria/Serviço|Sim|II|0,045|Sim|
1821-1/00|Serviços de pré-impressão|Indústria/Serviço|Sim|III|0,06|Não|
1822-9/01|Serviços de encadernação e plastificação|Indústria/Serviço|Sim|III|0,06|Não|
1822-9/99|Serviços de acabamentos gráficos, exceto encadernação e plastificação|Indústria|Sim|II|0,045|Não|
1830-0/01|Reprodução de som em qualquer suporte|Indústria/Serviço|Sim|III|0,06|Não|
1830-0/02|Reprodução de vídeo em qualquer suporte|Indústria/Serviço|Sim|III|0,06|Não|
1830-0/03|Reprodução de software em qualquer suporte|Indústria/Serviço|Sim|III|0,06|Não|
1910-1/00|Coquerias|Indústria/Serviço|Sim|II|0,045|Sim|
1921-7/00|Fabricação de produtos do refino de petróleo|Indústria|Sim|II|0,045|Sim|
8157|Formulação de combustíveis|Indústria|Sim|II|0,045|Sim|
8158|Rerrefino de óleos lubrificantes|Indústria|Sim|II|0,045|Sim|
1922-5/99|Fabricação de outros produtos derivados do petróleo, exceto produtos do refino|Indústria|Sim|II|0,045|Sim|
1931-4/00|Fabricação de álcool|Indústria|Sim|II|0,045|Sim|
1932-2/00|Fabricação de biocombustíveis, exceto álcool|Indústria|Sim|II|0,045|Sim|
2011-8/00|Fabricação de cloro e álcalis|Indústria|Sim|II|0,045|Sim|
2012-6/00|Fabricação de intermediários para fertilizantes|Indústria|Sim|II|0,045|Sim|
41365|Fabricação de adubos e fertilizantes organo-minerais|Indústria|Sim|II|0,045|Sim|
41366|Fabricação de adubos e fertilizantes, exceto organo-minerais|Indústria|Sim|II|0,045|Sim|
2014-2/00|Fabricação de gases industriais|Indústria|Sim|II|0,045|Sim|
43525|Elaboração de combustíveis nucleares|Indústria|Sim|II|0,045|Sim|
2019-3/99|Fabricação de outros produtos químicos inorgânicos Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
2021-5/00|Fabricação de produtos petroquímicos básicos|Indústria|Sim|II|0,045|Sim|
2022-3/00|Fabricação de intermediários para plastificantes, resinas e fibras|Indústria|Sim|II|0,045|Sim|
2029-1/00|Fabricação de produtos químicos orgânicos Não especificados anteriormente|Indústria|Sim|II|0,045|Sim|
