COD|DESCRICAO DO BANCO|EMAIL DO BANCO
095|Banco Confidence de Câmbio S.A.|www.bancoconfidence.com.br
096|Banco BM&FBOVESPA de Serviços de Liquidação e Custódia S.A|www.bmfbovespa.com.br
097|Cooperativa Central de Crédito Noroeste Brasileiro Ltda.|
104|Caixa Econômica Federal|www.caixa.gov.br
107|Banco BBM S.A.|www.bancobbm.com.br
118|Standard Chartered Bank (Brasil) S/A–Bco Invest.|www.standardchartered.com
119|Banco Western Union do Brasil S.A.|www.bancowesternunion.com.br
120|Banco Rodobens S.A.|www.rodobens.com.br
121|Banco Agiplan S.A.|www.bancoagiplan.com.br
122|Banco Bradesco BERJ S.A.|
124|Banco Woori Bank do Brasil S.A.|www.wooribank.com.br
125|Brasil Plural S.A. - Banco Múltiplo|www.brasilplural.com
126|BR Partners Banco de Investimento S.A.|www.brap.com.br
128|MS Bank S.A. Banco de Câmbio|www.msbank.com.br
129|UBS Brasil Banco de Investimento S.A.|WWW.UBS.COM
132|ICBC do Brasil Banco Múltiplo S.A.|www.icbcbr.com.br
135|Gradual Corretora de Câmbio,Títulos e Valores Mobiliários SA|
136|CONFEDERACAO NACIONAL DAS COOPERATIVAS CENTRAIS UNICREDS|http://www.unicred.com.br/
139|Intesa Sanpaolo Brasil S.A. - Banco Múltiplo|www.intesasanpaolobrasil.com.br
144|BEXS Banco de Câmbio S.A.|www.bexs.com.br
163|Commerzbank Brasil S.A. - Banco Múltiplo|www.commerzbank.com.br
169|Banco Olé Bonsucesso Consignado S.A.|www.bancobonsucesso.com.br
184|Banco Itaú BBA S.A.|www.itaubba.com.br
204|Banco Bradesco Cartões S.A.|não tem site
208|Banco BTG Pactual S.A.|www.btgpactual.com
212|Banco Original S.A.|www.original.com.br
213|Banco Arbi S.A.|www.arbi.com.br
217|Banco John Deere S.A.|www.johndeere.com.br
218|Banco Bonsucesso S.A.|www.bancobonsucesso.com.br
222|Banco Credit Agricole Brasil S.A.|www.calyon.com.br
224|Banco Fibra S.A.|www.bancofibra.com.br
233|Banco Cifra S.A.|www.bancocifra.com.br
237|Banco Bradesco S.A.|www.bradesco.com.br
241|Banco Clássico S.A.|www.bancoclassico.com.br
243|Banco Máxima S.A.|www.bancomaxima.com.br
246|Banco ABC Brasil S.A.|www.abcbrasil.com.br
248|Banco Boavista Interatlântico S.A.|não possui site
249|Banco Investcred Unibanco S.A.|Não possui site
250|BCV - Banco de Crédito e Varejo S.A.|www.bancobcv.com.br
254|Paraná Banco S.A.|www.paranabanco.com.br
263|Banco Cacique S.A.|www.bancocacique.com.br
265|Banco Fator S.A.|www.fator.com.br
266|Banco Cédula S.A.|www.bancocedula.com.br
300|Banco de La Nacion Argentina|www.bna.com.ar
318|Banco BMG S.A.|www.bancobmg.com.br
320|China Construction Bank (Brasil) Banco Múltiplo S.A.|www.br.ccb.com
341|Itaú Unibanco S.A.|www.itau.com.br
366|Banco Société Générale Brasil S.A.|www.sgbrasil.com.br
370|Banco Mizuho do Brasil S.A.|www.mizuhobank.com/brazil/pt/
376|Banco J. P. Morgan S.A.|www.jpmorgan.com
389|Banco Mercantil do Brasil S.A.|www.mercantil.com.br
394|Banco Bradesco Financiamentos S.A.|não tem site
399|Kirton Bank S.A. - Banco Múltiplo|
412|Banco Capital S.A.|www.bancocapital.com.br
422|Banco Safra S.A.|www.safra.com.br
456|Banco de Tokyo-Mitsubishi UFJ Brasil S.A.|www.br.bk.mufg.jp
464|Banco Sumitomo Mitsui Brasileiro S.A.|www.smbcgroup.com.br
473|Banco Caixa Geral - Brasil S.A.|www.bcgbrasil.com.br
477|Citibank N.A.|www.citibank.com
479|Banco ItauBank S.A|www.itaubank.com.br
487|Deutsche Bank S.A. - Banco Alemão|www.deutsche-bank.com.br
488|JPMorgan Chase Bank, National Association|www.jpmorganchase.com
492|ING Bank N.V.|www.ing.com
494|Banco de La Republica Oriental del Uruguay|www.bancorepublica.com.uy
495|Banco de La Provincia de Buenos Aires|www.bapro.com.ar
505|Banco Credit Suisse (Brasil) S.A.|www.csfb.com
600|Banco Luso Brasileiro S.A.|www.lusobrasileiro.com.br
604|Banco Industrial do Brasil S.A.|www.bancoindustrial.com.br
610|Banco VR S.A.|www.vrinvestimentos.com.br
611|Banco Paulista S.A.|www.bancopaulista.com.br
612|Banco Guanabara S.A.|www.bancoguanabara.com.br
613|Banco Pecúnia S.A.|www.bancopecunia.com.br
623|Banco PAN S.A.|www.bancopan.com.br
626|Banco Ficsa S.A.|www.ficsa.com.br
630|Banco Intercap S.A.|
633|Banco Rendimento S.A.|www.rendimento.com.br
634|Banco Triângulo S.A.|www.tribanco.com.br
637|Banco Sofisa S.A.|www.sofisa.com.br
641|Banco Alvorada S.A.|Não possui site
643|Banco Pine S.A.|www.pine.com
652|Itaú Unibanco Holding S.A.|www.itau.com.br
653|Banco Indusval S.A.|www.bip.b.br
655|Banco Votorantim S.A.|www.bancovotorantim.com.br
658|Banco Porto Real de Investimentos S.A.|
707|Banco Daycoval S.A.|www.daycoval.com.br
712|Banco Ourinvest S.A.|www.ourinvest.com.br
719|Banif-Banco Internacional do Funchal (Brasil)S.A.|www.banif.com.br
720|Banco Maxinvest S.A.|www.bancomaxinvest.com.br
735|Banco Neon S.A.|www.banconeon.com.br
739|Banco Cetelem S.A.|www.cetelem.com.br
741|Banco Ribeirão Preto S.A.|www.brp.com.br
743|Banco Semear S.A.|www.bancosemear.com.br
745|Banco Citibank S.A.|www.citibank.com.br
746|Banco Modal S.A.|www.bancomodal.com.br
747|Banco Rabobank International Brasil S.A.|www.rabobank.com.br
748|Banco Cooperativo Sicredi S.A.|www.sicredi.com.br
751|Scotiabank Brasil S.A. Banco Múltiplo|www.br.scotiabank.com
752|Banco BNP Paribas Brasil S.A.|www.bnpparibas.com.br
753|Novo Banco Continental S.A. - Banco Múltiplo|www.nbcbank.com.br
754|Banco Sistema S.A.|www.btgpactual.com
755|Bank of America Merrill Lynch Banco Múltiplo S.A.|www.ml.com
756|Banco Cooperativo do Brasil S.A. - BANCOOB|www.bancoob.com.br
757|Banco KEB HANA do Brasil S.A.|www.bancokeb.com.br
085-x|Cooperativa Central de Crédito Urbano-CECRED|
086-8|OBOE Crédito Financiamento e Investimento S.A.|
087-6|Cooperativa Unicred Central Santa Catarina|
089-2|Cooperativa de Crédito Rural da Região de Mogiana|
090-2|Cooperativa Central de Economia e Crédito Mutuo das Unicreds|
091-4|Unicred Central do Rio Grande do Sul|www.unicred-rs.com.br
098-1|CREDIALIANÇA COOPERATIVA DE CRÉDITO RURAL|
099-x|Cooperativa Central de Economia e Credito Mutuo das Unicreds|
114-7|Central das Cooperativas de Economia e Crédito Mútuo do Estado do Espírito Santo Ltda.|www.cecoopes.com.br
